R12,urt,arch,mat,eneff,material,scenario,year,floor_tot_Mm2,floor_new_Mm2,floor_dem_Mm2,mat_stock_Mt,mat_demand_Mt,mat_scrap_Mt
PAO,urb,comm,perm,sr21_std,steel,SSP2,2080,446.72836296649,0,2.953185284053,47.927222400713895,0,0.31683228474557507
PAO,urb,comm,perm,sr21_std,steel,SSP2,2090,461.32791124857,0,2.697476507835,49.4935339570672,0,0.28939858587265666
PAO,urb,comm,perm,sr21_std,steel,SSP2,2100,471.40972878721,0,2.345934053329,50.57516107420205,0,0.2516833772646334
PAO,urb,comm,perm,sr21_std,wood,SSP2,2025,58.85601233957,0,0,3.5036498554216213,0,0
PAO,urb,comm,perm,sr21_std,wood,SSP2,2030,136.64011740507001,0,0.501914434508,8.134073454194953,0,0.02987855218175705
PAO,urb,comm,perm,sr21_std,wood,SSP2,2035,201.71232198312,0,1.191980425594,12.00776810490388,0,0.07095761129216067
PAO,urb,comm,perm,sr21_std,wood,SSP2,2040,255.6293650174,0,1.778282765686,15.217405192478214,0,0.10585970586909174
PAO,urb,comm,perm,sr21_std,wood,SSP2,2045,299.90706990971,0,2.252165609506,17.853220433397006,0,0.13406956058465605
PAO,urb,comm,perm,sr21_std,wood,SSP2,2050,335.97606596002,0,2.613196924668,20.00037800954677,0,0.15556145690736334
PAO,urb,comm,perm,sr21_std,wood,SSP2,2055,365.15158054299,0,2.867025680132,21.737172321412668,0,0.17067167329872057
PAO,urb,comm,perm,sr21_std,wood,SSP2,2060,388.61569241940003,0,3.023404173778,23.13397154234985,0,0.17998075600539076
PAO,urb,comm,perm,sr21_std,wood,SSP2,2070,424.20607782078,0,3.023212700431,25.252637821446527,0,0.17996935775501893
PAO,urb,comm,perm,sr21_std,wood,SSP2,2080,446.72836296649,0,2.953185284053,26.593370874159284,0,0.17580068343415647
PAO,urb,comm,perm,sr21_std,wood,SSP2,2090,461.32791124857,0,2.697476507835,27.462469938034193,0,0.16057855095842474
